NAME,VARLABEL,TYPE,TROLL,DISENGAGED,CONJUNCTIONS,CONJUNCTION NOTES,WHY TROLL? FIRST REVIEWER NOTES,WHY DISENGAGED? FIRST REVIEWER NOTES,CONJUNCTION/TROLL SECOND REVIEWER PASS/FAIL,SECOND REVIEWER PASS/FAIL REASONING
ST038Q09JA,"In past 12 months, how often: I was in a physical fight on school property.",NUM,0,1,,,,Question style†,,
ST038Q10JA,"In past 12 months, how often: I stayed home from school because I felt unsafe.",NUM,0,1,,,,Question style†,,
ST038Q11JA,"In past 12 months, how often: I gave money to someone at school because they threatened me.",NUM,0,1,,,,Question style†,,
ST265Q01JA,Agree/disagree: I feel safe on my way to school.,NUM,0,1,,,,Question style†,,
ST265Q02JA,Agree/disagree: I feel safe on my way home from school.,NUM,0,1,,,,Question style†,,
ST265Q03JA,Agree/disagree: I feel safe in my classrooms at school.,NUM,0,1,,,,Question style†,,
ST265Q04JA,"Agree/disagree: I feel safe at other places at school (e.g. hallway, cafeteria, restroom).",NUM,0,1,,,,Question style†,,
ST266Q01JA,Occur during past four weeks:  Our school was vandalised.,NUM,0,0,,,,,,
ST266Q02JA,Occur during past four weeks:  I witnessed a fight on school property in which someone got hurt.,NUM,0,0,,,,,,
ST266Q03JA,Occur during past four weeks:  I saw gangs in school.,NUM,0,0,,,,,,
ST266Q04JA,Occur during past four weeks:  I heard a student threaten to hurt another student.,NUM,0,0,,,,,,
ST266Q05JA,Occur during past four weeks:  I saw a student carrying a gun or knife at school.,NUM,0,0,,,,,,
ST294Q01JA,How many days/wk before school: Eat breakfast,NUM,0,1,,,,,,
ST294Q02JA,How many days/wk before school: Study for school or homework,NUM,0,1,,,,,,
ST294Q03JA,How many days/wk before school: Work in the household or take care of family members,NUM,0,1,,,,,,
ST294Q04JA,How many days/wk before school: Work for pay,NUM,0,1,,,,,,
ST294Q05JA,"How many days/wk before school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])",NUM,0,1,,,,,,
ST295Q01JA,How many days/wk after school: Eat dinner,NUM,1,1,ST258Q01JA,,Pupils claiming to have not eaten dinner in the developed world may be doing so because they think the question is silly without recognising the question gets asked to pupils everywhere in the world.,,,
ST295Q02JA,How many days/wk after school: Study for school or homework,NUM,0,1,,,,,,
ST295Q03JA,How many days/wk after school: Work in the household or take care of family members,NUM,0,1,,,,,,
ST295Q04JA,How many days/wk after school: Work for pay,NUM,0,1,,,,,,
ST295Q05JA,"How many days/wk after school: Exercise or practise a sport (e.g. running, cycling, aerobics, soccer, skating, [country-specific])",NUM,0,1,,,,,,
ST326Q01JA,"This school year, how many hours/day use [digital resources] for: For learning activities at school",NUM,0,2,,,,Question Style*,,
ST326Q02JA,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school",NUM,0,2,,,,Question Style*,,
ST326Q03JA,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends",NUM,0,2,,,,Question Style*,,
ST326Q04JA,"This school year, how many hours/day use [digital resources] for: For leisure at school",NUM,0,2,,,,Question Style*,,
ST326Q05JA,"This school year, how many hours/day use [digital resources] for: For leisure before and after school",NUM,0,2,,,,Question Style*,,
ST326Q06JA,"This school year, how many hours/day use [digital resources] for: For leisure on weekends",NUM,0,2,,,,Question Style*,,
ST326Q07JA,"This school year, how many hours/day use [digital resources] for: For learning activities at school",NUM,0,2,,,,Question Style*,,
ST326Q08JA,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school",NUM,0,2,,,,Question Style*,,
ST326Q09JA,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends",NUM,0,2,,,,Question Style*,,
ST326Q10JA,"This school year, how many hours/day use [digital resources] for: For leisure at school",NUM,0,2,,,,Question Style*,,
ST326Q11JA,"This school year, how many hours/day use [digital resources] for: For leisure before and after school",NUM,0,2,,,,Question Style*,,
ST326Q12JA,"This school year, how many hours/day use [digital resources] for: For leisure on weekends",NUM,0,2,,,,Question Style*,,
ST322Q01JA,How often: I turn off notifications from social networks and apps on my [digital devices] during class.,NUM,0,1,,,,Question style†,,
ST322Q02JA,How often: I turn off notifications from social networks and apps on my [digital devices] when I go to sleep.,NUM,0,1,,,,Question style†,,
ST322Q03JA,How often: I keep my [digital device] near me to answer messages when I am home.,NUM,0,1,,,,Question style†,,
ST322Q04JA,How often:  I have my [digital device] open in class so I can take notes or search for information.,NUM,0,1,,,,Question style†,,
ST322Q06JA,How often: I feel pressured to be online and answer messages when I am in class.,NUM,0,1,,,,Question style†,,
ST322Q07JA,How often:  I feel nervous/anxious when I don't have my [digital device] near me.,NUM,0,1,,,,Question style†,,
ST307Q01JA,Agree/disagree: I keep working on a task until it is finished.,NUM,0,1,,,,Question style†,,
ST307Q02JA,Agree/disagree: I apply additional effort when work becomes challenging.,NUM,0,1,,,,Question style†,,
ST307Q03JA,Agree/disagree: I finish tasks that I started even when they become boring.,NUM,0,1,,,,Question style†,,
ST307Q04JA,Agree/disagree: I stop when work becomes too difficult.,NUM,0,1,,,,Question style†,,
ST307Q05JA,Agree/disagree: I am more persistent than most people I know.,NUM,0,1,,,,Question style†,,
ST307Q06JA,Agree/disagree: I give up after making mistakes.,NUM,0,1,,,,Question style†,,
ST307Q07JA,Agree/disagree: I quit doing homework if it is too long.,NUM,0,1,,,,Question style†,,
ST307Q08JA,Agree/disagree: I complete tasks even when they become more difficult than I thought.,NUM,0,1,,,,Question style†,,
ST307Q09JA,Agree/disagree: I finish what I start.,NUM,0,1,,,,Question style†,,
ST307Q10JA,Agree/disagree: I give up easily.,NUM,0,1,,,,Question style†,,
ST309Q01JA,Agree/disagree: I am careful with what I say to others.,NUM,0,1,,,,Question style†,,
ST309Q02JA,Agree/disagree: I get easily distracted.,NUM,0,1,,,,Question style†,,
ST309Q03JA,Agree/disagree: I say the first thing that comes to my mind.,NUM,0,1,,,,Question style†,,
